"nom_methode_dpe","version_methode_dpe","date_etablissement_dpe","consommation_energie","classe_consommation_energie","estimation_ges","classe_estimation_ges","annee_construction","surface_thermique_lot","latitude","longitude","tr001_modele_dpe_type_libelle","tr002_type_batiment_description","code_insee_commune_actualise","tv016_departement_code","geo_adresse","geo_score"
"3CL - DPE","V2012","2013-06-03",186.72,"D",43.69,"E",1974,32.46,43.607157,3.88744,"Location","Logement","34172","34","140 Allée du Nouveau Monde 34000 Montpellier",0.98
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-31",135,"C",31,"D",2002,105,48.34317,-1.302629,"Vente","Maison Individuelle","35310","35","7 Rue des Estuaires 35133 Saint-Sauveur-des-Landes",0.32
"3CL - DPE","V2012","2013-07-10",438.85,"F",131.66,"G",1970,58.27,47.072969,1.806974,"Vente","Maison Individuelle","36230","36","19 Rue Ferdinand de Lesseps 36150 Vatan",0.83
"FACTURE - DPE","V2012","2013-06-07",0,"N",0,"N",1948,26.21,47.412256,0.781163,"Vente","Maison Individuelle","37281","37","Rue des Patis 37210 Vouvray",0.36
"Méthode Facture",,"2013-05-27",0,"N",0,"N",1947,25.23,,,"Location","Logement","38200","38",,0
"Méthode Facture",,"2013-07-29",0,"N",0,"N",1947,60.45,,,"Location","Logement","39570","39",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-17",218,"D",10,"B",1948,66,,,"Location","Maison Individuelle","40700","40",,0
"3CL - DPE","V2012","2013-06-26",0,"N",0,"N",1904,42.1,47.534327,1.607016,"Vente","Maison Individuelle","41013","41","10 Route de Fontaines 41250 Bauzy",0.95
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-06",330,"E",77,"F",1948,124,,,"Location","Logement","42100","42",,0
"3CL - DPE","V2012","2013-08-03",211.24,"D",63.37,"F",1971,106.42,45.028844,3.870906,"Vente","Maison Individuelle","43251","43","4 Chemin de la Girette 43750 Vals-près-le-Puy",0.95
"Méthode 3CL","3CL-DPE, version 1.3","2013-05-28",174,"D",9,"B",1989,74,47.2216638,-1.5812285,"Location","Logement","44000","44","Avenue du Parc de Procé (Pont) Nantes",0.72
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-07",401,"F",18,"C",1989,51,,,"Vente","Maison Individuelle","45720","45",,0
"Factures","2012","2013-09-18",0,"A",0,"A",1948,95,,,"Vente","Maison Individuelle","46184","46",,0
"Méthode 3CL","3CL-DPE, version 1.3","2013-07-03",209,"D",48,"E",1948,48.41,,,"Vente","Logement","47000","47",,0
"FACTURE - DPE","V2012","2014-01-07",119.05,"C",5.8,"A",2014,123.87,,,"Neuf","Maison Individuelle","48116","48",,0
"FACTURE - DPE","V2012","2013-06-06",74.88,"N",2.44,"N",1948,80,,,"Vente","Maison Individuelle","49028","49",,0
"3CL - DPE","V2012","2013-06-03",257.13,"E",14.32,"C",2006,115.8,48.916077,-1.535492,"Vente","Maison Individuelle","50085","50","Route du Village de l'Isle 50290 Bricqueville-sur-Mer",0.92
"FACTURE - DPE","V2012","2013-06-20",163.51,"D",38.26,"E",1982,102,48.958049,4.361499,"Vente","Logement","51108","51","1 Rue des Viviers 51000 Châlons-en-Champagne",0.96
"Méthode 3CL","3CL-DPE, version 1.3","2013-09-03",167,"D",50,"E",1989,130.9,47.977726,5.629707,"Vente","Maison Individuelle","52400","52","2 Rue de la Source 52400 Le Châtelet-sur-Meuse",0.93
"Méthode Facture",,"2013-06-27",134,"C",3,"A",1947,167.98,,,"Vente","Maison Individuelle","53480","53",,0
"3CL - DPE","V2012","2013-06-14",396,"F",13,"C",1974,62,48.630783,6.300659,"Vente","Logement","54483","54","20 Avenue Jolain 54210 Saint-Nicolas-de-Port",0.59
"Méthode 3CL","3CL-DPE, version 1.3","2013-08-27",247,"E",57,"F",1948,89.71,,,"Vente","Maison Individuelle","55100","55",,0
"3CL - DPE","V2012","2013-06-09",134.02,"C",5.8,"A",2006,132.95,47.844044,-2.796046,"Vente","Maison Individuelle","56017","56","Talforest 56500 Bignan",0.4
"Méthode 3CL","3CL-DPE, version 1.3","2013-06-26",329,"E",20,"C",1986,168,49.055413,6.240174,"Vente","Maison Individuelle","57140","57","6 Rue de Peltre 57245 Chesny",0.34
"Méthode Facture",,"2013-07-31",182,"D",42,"E",1947,79,,,"Vente","Maison Individuelle","58600","58",,0
"3CL - DPE","V2012","2013-05-28",206.92,"D",48.42,"E",1930,115,50.15254,3.461746,"Vente","Maison Individuelle","59614","59","5 Place Narcisse Pavot 59271 Viesly",0.95
"Méthode Facture",,"2013-06-05",0,"N",0,"N",1947,140,49.530125,2.005648,"Vente","Maison Individuelle","60590","60","31 Rue de Normandie 60860 Saint-Omer-en-Chaussée",0.44
"3CL","Version 1.3","2013-06-25",306.18,"E",51.65,"E",1900,68,,,"Vente","Maison Individuelle","63000","61",,0
"3CL - DPE","V2012","2013-05-26",428.84,"F",74.86,"F",1997,92.84,50.523194,1.589312,"Vente","Maison Individuelle","62826","62","Avenue de Bruxelles 62520 Le Touquet-Paris-Plage",0.95
"3CL - DPE","V2012","2013-06-19",262.36,"E",8.89,"B",2006,136,45.673296,3.001875,"Vente","Maison Individuelle","63026","63","11bis Rue de la Vachere 63970 Aydat",0.84
"FACTURE - DPE","V2012","2013-06-03",163.03,"D",7.05,"B",2006,90.36,43.323875,-0.407645,"Neuf","Maison Individuelle","64348","64","Allee Des Tilleuls 64140 Lons",0.96
"Méthode Facture",,"2013-07-13",287,"E",9,"B",1947,68.79,,,"Location","Logement","65000","65",,0
